
faction_id,Faction,Unit Type,Unit Name EN,Unit Name SP,Command,AVB,Characteristics,Keywords,High Command,Points Cost,Special Rules,Companion,Tournament Legal
scions-of-yaldabaoth,Scions of Yaldabaoth,Character,Aide,Ayudante,0,1,"[Character, Orc]","[Join (Infantry Orc)]",No,15,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Character,Alborc,Alborc,0,1,"[Character, Orc, Mercenary]","[Elite, Scout]",No,30,[],[],No
scions-of-yaldabaoth,Scions of Yaldabaoth,Character,Anointed,Ungido,2,1,"[Character, Orc, High Command]","[Elite, Spellcaster]",Yes,40,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Character,Ansera Noighman,Ansera Noighman,1,1,"[Character, Human, High Command]","[Elite, Spellcaster]",Yes,35,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Character,Darkmaster,Maestro Oscuro,0,1,"[Character, Orc]","[Spellcaster]",No,25,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Character,Evoker,Evocador,0,1,"[Character, Orc]","[Spellcaster]",No,20,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Character,Master Nepharim,Maestro Nepharim,2,1,"[Character, Nepharim, High Command]","[Elite, Spellcaster]",Yes,45,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Character,Naergon Caladren,Naergon Caladren,0,1,"[Character, Elf, Mercenary]","[Elite, Ambusher]",No,35,[],[],No
scions-of-yaldabaoth,Scions of Yaldabaoth,Character,Nayra Caladren,Nayra Caladren,0,1,"[Character, Elf, Mercenary]","[Elite, Scout]",No,30,[],[],No
scions-of-yaldabaoth,Scions of Yaldabaoth,Character,Ormuk,Ormuk,0,1,"[Character, Orc, Mercenary]","[Elite, Intimidating (1)]",No,25,[],[],No
scions-of-yaldabaoth,Scions of Yaldabaoth,Character,Overseer,Supervisor,1,1,"[Character, Orc]","[Join (Infantry Orc), Elite]",No,25,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Character,Prime Warrior,Guerrero Primario,1,1,"[Character, Orc]","[Join (Infantry Orc), Elite]",No,30,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Character,Progenitor Sculptor,Escultor Progenitor,0,1,"[Character, Nepharim]","[Spellcaster]",No,30,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Character,Puppeteer,Titiritero,0,1,"[Character, Nepharim]","[Spellcaster]",No,25,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Character,Tattooist,Tatuador,0,1,"[Character, Orc]","[Medic, Join (Infantry Orc)]",No,20,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Troop,Bugbowls,Cuencoinsecto,0,2,"[Infantry, Orc]",[],No,20,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Troop,Echoes,Ecos,0,1,"[Infantry, Nepharim]","[Elite, Ambusher]",No,40,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Troop,Flamecobs,Mazorcallamas,0,1,"[Artillery, Construct]",[],No,35,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Troop,Gobblers,Tragones,0,2,"[Infantry, Orc]","[Scout]",No,25,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Troop,Harvester,Cosechador,0,1,"[Artillery, Construct]","[Elite]",No,45,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Troop,Husks,Cascaras,0,3,"[Infantry, Undead]",[],No,15,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Troop,Intact,Intacto,0,2,"[Infantry, Undead]","[Elite]",No,25,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Troop,Marked,Marcados,0,2,"[Infantry, Orc]","[Elite]",No,30,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Troop,Marked Marksmen,Tiradores Marcados,0,2,"[Infantry, Orc]","[Elite]",No,35,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Troop,Needle,Aguja,0,1,"[Artillery, Construct]",[],No,30,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Troop,Orc Hunters,Cazadores Orcos,0,2,"[Infantry, Orc]","[Scout]",No,30,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Troop,Orc Husk,Cascara Orca,0,2,"[Infantry, Orc, Undead]",[],No,20,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Troop,Osseous,Oseo,0,1,"[Infantry, Undead]","[Elite, Intimidating (1)]",No,35,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Troop,Rumpy Ride,Paseo Arrugado,0,1,"[Cavalry, Orc, Beast]","[Scout]",No,40,[],[],Yes
scions-of-yaldabaoth,Scions of Yaldabaoth,Troop,Sightless,Sin Vista,0,2,"[Infantry, Undead]","[Ambusher]",No,25,[],[],Yes
